model - 1577686734,1577686741.92,0.68,0.2065,0.68,0.2189
model - 1577686734,1577686741.946,0.67,0.184,0.65,0.2234
model - 1577686734,1577686741.973,0.55,0.2302,0.66,0.2116
model - 1577686734,1577686741.999,0.68,0.2101,0.67,0.2164
model - 1577686734,1577686742.024,0.67,0.2063,0.7,0.1988
model - 1577686734,1577686742.049,0.67,0.1973,0.72,0.1825
model - 1577686734,1577686742.078,0.68,0.2044,0.66,0.2064
model - 1577686734,1577686742.103,0.69,0.2057,0.67,0.2047
model - 1577686734,1577686742.127,0.61,0.2048,0.68,0.1991
model - 1577686734,1577686742.151,0.76,0.182,0.68,0.2178
model - 1577686734,1577686742.179,0.62,0.2256,0.69,0.1986
model - 1577686734,1577686742.203,0.74,0.1799,0.76,0.187
model - 1577686734,1577686742.231,0.69,0.2102,0.73,0.1734
model - 1577686734,1577686742.257,0.73,0.1973,0.63,0.233
model - 1577686734,1577686742.285,0.64,0.2119,0.71,0.195
model - 1577686734,1577686742.309,0.62,0.244,0.79,0.1778
model - 1577686734,1577686742.338,0.71,0.1817,0.64,0.2072
model - 1577686734,1577686742.374,0.76,0.1755,0.69,0.2139
model - 1577686734,1577686742.414,0.65,0.2185,0.67,0.2027
model - 1577686734,1577686742.448,0.78,0.1739,0.73,0.2018
model - 1577686734,1577686742.484,0.68,0.2017,0.69,0.2073
model - 1577686734,1577686742.51,0.68,0.2144,0.65,0.2222
model - 1577686734,1577686742.539,0.73,0.184,0.62,0.2368
model - 1577686734,1577686742.564,0.63,0.2091,0.67,0.202
model - 1577686734,1577686742.588,0.6,0.2205,0.67,0.2226
model - 1577686734,1577686742.613,0.76,0.1763,0.7,0.1934
model - 1577686734,1577686742.641,0.59,0.2422,0.73,0.1738
model - 1577686734,1577686742.665,0.61,0.2253,0.62,0.2198
model - 1577686734,1577686742.69,0.66,0.206,0.74,0.1713
model - 1577686734,1577686742.722,0.75,0.1694,0.65,0.2077
model - 1577686734,1577686742.764,0.6,0.2417,0.65,0.2215
model - 1577686734,1577686742.799,0.73,0.1904,0.64,0.2242
model - 1577686734,1577686742.835,0.72,0.1964,0.72,0.1933
model - 1577686734,1577686742.869,0.63,0.2334,0.69,0.1956
model - 1577686734,1577686742.901,0.65,0.208,0.72,0.1885
model - 1577686734,1577686742.926,0.61,0.229,0.76,0.1725
model - 1577686734,1577686742.95,0.68,0.1995,0.68,0.209
model - 1577686734,1577686742.974,0.65,0.2075,0.74,0.1873
model - 1577686734,1577686743.002,0.64,0.208,0.75,0.1961
model - 1577686734,1577686743.027,0.72,0.195,0.72,0.1992
model - 1577686734,1577686743.051,0.62,0.2296,0.75,0.1736
model - 1577686734,1577686743.076,0.63,0.2351,0.7,0.1962
model - 1577686734,1577686743.106,0.64,0.2058,0.74,0.2024
model - 1577686734,1577686743.132,0.71,0.2076,0.63,0.2224
model - 1577686734,1577686743.156,0.63,0.2254,0.65,0.2002
model - 1577686734,1577686743.181,0.72,0.1868,0.77,0.1796
model - 1577686734,1577686743.207,0.75,0.1647,0.62,0.2056
model - 1577686734,1577686743.233,0.73,0.1959,0.71,0.1892
model - 1577686734,1577686743.258,0.68,0.1989,0.71,0.1803
model - 1577686734,1577686743.283,0.68,0.1973,0.67,0.2083
model - 1577686734,1577686743.309,0.76,0.1744,0.72,0.1931
model - 1577686734,1577686743.333,0.73,0.1886,0.69,0.201
model - 1577686734,1577686743.358,0.62,0.2164,0.79,0.165
model - 1577686734,1577686743.385,0.64,0.2251,0.71,0.1894
model - 1577686734,1577686743.412,0.64,0.2197,0.68,0.2085
model - 1577686734,1577686743.436,0.68,0.2019,0.73,0.1923
model - 1577686734,1577686743.461,0.79,0.1745,0.67,0.2023
model - 1577686734,1577686743.489,0.65,0.213,0.69,0.2103
model - 1577686734,1577686743.516,0.68,0.1994,0.7,0.2077
model - 1577686734,1577686743.541,0.63,0.2375,0.7,0.1907
model - 1577686734,1577686743.567,0.64,0.2154,0.71,0.2069
model - 1577686734,1577686743.593,0.65,0.2026,0.76,0.1707
model - 1577686734,1577686743.62,0.67,0.2099,0.74,0.1738
model - 1577686734,1577686743.644,0.73,0.1878,0.63,0.2159
model - 1577686734,1577686743.669,0.69,0.1852,0.68,0.2055
model - 1577686734,1577686743.694,0.63,0.2379,0.72,0.1934
model - 1577686734,1577686743.721,0.66,0.2114,0.7,0.2101
model - 1577686734,1577686743.749,0.7,0.1887,0.72,0.2091
model - 1577686734,1577686743.776,0.76,0.1808,0.65,0.2039
model - 1577686734,1577686743.808,0.71,0.1915,0.76,0.1572
model - 1577686734,1577686743.834,0.68,0.2262,0.7,0.2143
model - 1577686734,1577686743.859,0.64,0.2219,0.67,0.2062
model - 1577686734,1577686743.884,0.69,0.2057,0.7,0.1847
model - 1577686734,1577686743.908,0.66,0.2143,0.8,0.1687
model - 1577686734,1577686743.932,0.69,0.2012,0.63,0.2135
model - 1577686734,1577686743.96,0.7,0.1896,0.68,0.2171
model - 1577686734,1577686743.985,0.73,0.1904,0.67,0.2059
model - 1577686734,1577686744.009,0.72,0.204,0.64,0.1955
model - 1577686734,1577686744.033,0.72,0.213,0.76,0.1803
model - 1577686734,1577686744.061,0.65,0.2182,0.75,0.1612
model - 1577686734,1577686744.089,0.65,0.2203,0.73,0.1906
